input	time
89200	14380.5073212597
89300	13318.9275885624
89400	14417.5890698348
89500	13370.0208690514
89600	13374.0708061394
89700	13134.458447242
89800	13405.534798979
89900	13185.5678390407
90000	13355.0047802528
90100	13324.7006236288
90200	13284.9379168982
90300	13374.4014364482
90400	13154.4573715061
90500	13454.8125191068
90600	13218.4827109182
90700	13175.9781954896
90800	13107.1550430189
90900	13454.1196970049
91000	13212.610982431
91100	14381.9048382789
91200	13403.2174162006
91300	13454.1152721374
91400	13436.9791186228
91500	13237.4398220277
91600	13427.4567812431
91700	14008.0122173903
91800	14314.7372001176
91900	13305.1530094946
92000	13214.893600113
92100	13069.8801168779
92200	14229.5043462332
92300	14374.5779361718
92400	13339.1635956753
92500	13280.3582983283
92600	13293.5922469309
92700	13288.3732726517
92800	14264.8983667366
92900	13312.5489074858
93000	13549.9890728663
93100	13272.5008789842
93200	14148.1688223281
93300	14178.4027109714
93400	14241.0165417756
93500	14074.0853381882
93600	14215.1261729893
93700	14329.4621883816
93800	14293.3397374316
93900	13403.8027083217
94000	13377.8402834992
94100	13213.4276909053
94200	14217.2854296832
94300	13379.8675077972
94400	14353.9506096405
94500	13244.1295486532
94600	13450.7205105949
94700	14246.7547937989
94800	13562.6372581309
94900	13310.3046859907
95000	14360.8992326307
95100	13247.9212372021
95200	14472.6795817922
95300	13425.6096311177
95400	13400.4069606417
95500	13426.9710482502
95600	13270.1199699209
95700	13296.8394750255
95800	14375.1246104438
95900	13486.3766358205
96000	13284.0889595937
96100	13265.565327281
96200	14280.825506844
96300	13412.882675531
96400	14378.1532816428
96500	14452.8215185049
96600	13332.4880325374
96700	14185.2045929043
96800	14327.9155910418
96900	13536.494839462
97000	13400.2933989615
97100	14375.1885194971
97200	13480.7417418173
97300	13403.5661614322
97400	13324.8451481236
97500	13446.4047172703
97600	13376.3387230632
97700	13294.9964937979
97800	13340.2744015842
97900	14277.6281155693
98000	14488.2003233564
98100	13266.4674464463
98200	13425.1804550582
98300	13562.9067309899
98400	13502.266983138
98500	13231.5981349105
98600	13440.1097026253
98700	13372.8455643877
98800	14223.3579378744
98900	14503.0266037823
99000	13419.7260423412
99100	14225.3001360019
99200	14742.8129063765
99300	14638.171855401
99400	13208.3757024097
99500	14271.0059642724
99600	14308.5190690753
99700	14501.4939936409
99800	14097.3838314227
99900	14381.3691273152

